发明人,专利名
李晨光,一种基于垂直分解的并行频繁闭序列挖掘方法
毕天驰,一种基于垂直分解的并行频繁闭序列挖掘方法
李文佳,一种Gaia系统中的统一表达API调用系统及调用方法
赵宇海,一种Gaia系统中的统一表达API调用系统及调用方法
王国仁,一种Gaia系统中的统一表达API调用系统及调用方法
季航旭,一种Gaia系统中的统一表达API调用系统及调用方法
李博扬,一种Gaia系统中的统一表达API调用系统及调用方法
郭文鹏,一种基于乐观容错方法的迭代器
赵宇海,一种基于乐观容错方法的迭代器
王国仁,一种基于乐观容错方法的迭代器
季航旭,一种基于乐观容错方法的迭代器
李博扬,一种基于乐观容错方法的迭代器
王子萌,一种Gaia中支持多作业并行执行的代理方法
王国仁,一种Gaia中支持多作业并行执行的代理方法
赵宇海,一种Gaia中支持多作业并行执行的代理方法
郑军,一种Gaia中支持多作业并行执行的代理方法
李荣华,一种Gaia中支持多作业并行执行的代理方法
赵恒泰,一种Gaia系统中支持流数据与批数据交互的数据交换系统
王国仁,一种Gaia系统中支持流数据与批数据交互的数据交换系统
赵宇海,一种Gaia系统中支持流数据与批数据交互的数据交换系统
郑军,一种Gaia系统中支持流数据与批数据交互的数据交换系统
李荣华,一种Gaia系统中支持流数据与批数据交互的数据交换系统
季航旭,一种Gaia系统中面向迭代计算的并行度动态调整方法
韦刘国,一种Gaia系统中面向迭代计算的并行度动态调整方法
赵宇海,一种Gaia系统中面向迭代计算的并行度动态调整方法
王国仁,一种Gaia系统中面向迭代计算的并行度动态调整方法
吴刚,一种Gaia系统中面向迭代计算的并行度动态调整方法
李博扬,一种Gaia系统中面向迭代计算的并行度动态调整方法
汪志峰,一种自适应任务调度器及方法
赵宇海,一种自适应任务调度器及方法
王国仁,一种自适应任务调度器及方法
季航旭,一种自适应任务调度器及方法
李博扬,一种自适应任务调度器及方法
姜苏,Gaia集群中面向数据分布特征的维表缓存管理方法及系统
王国仁,Gaia集群中面向数据分布特征的维表缓存管理方法及系统
赵宇海,Gaia集群中面向数据分布特征的维表缓存管理方法及系统
郑军,Gaia集群中面向数据分布特征的维表缓存管理方法及系统
李博扬,Gaia集群中面向数据分布特征的维表缓存管理方法及系统
韦刘国,一种基于受限恢复的图迭代器及方法
赵宇海,一种基于受限恢复的图迭代器及方法
王国仁,一种基于受限恢复的图迭代器及方法
季航旭,一种基于受限恢复的图迭代器及方法
李博扬,一种基于受限恢复的图迭代器及方法
马卿云,一种Gaia集群中面向节点间异构带宽的数据分发方法
王国仁,一种Gaia集群中面向节点间异构带宽的数据分发方法
赵宇海,一种Gaia集群中面向节点间异构带宽的数据分发方法
郑军,一种Gaia集群中面向节点间异构带宽的数据分发方法
李荣华,一种Gaia集群中面向节点间异构带宽的数据分发方法
赵恒泰,Gaia系统中面向融合计算的数据缓存装置与系统
赵宇海,Gaia系统中面向融合计算的数据缓存装置与系统
王国仁,Gaia系统中面向融合计算的数据缓存装置与系统
季航旭,Gaia系统中面向融合计算的数据缓存装置与系统
李博扬,Gaia系统中面向融合计算的数据缓存装置与系统
汪诗烨,一种优化网络多连接的系统和方法
赵宇海,一种优化网络多连接的系统和方法
王国仁,一种优化网络多连接的系统和方法
季航旭,一种优化网络多连接的系统和方法
李博扬,一种优化网络多连接的系统和方法
季航旭,一种基于Gaia系统的数据分类方法
赵宇海,一种基于Gaia系统的数据分类方法
王国仁,一种基于Gaia系统的数据分类方法
吴刚,一种基于Gaia系统的数据分类方法
李博扬,一种基于Gaia系统的数据分类方法
赵宇海,面向大规模高维序列数据的交互特征并行选择方法
印莹,面向大规模高维序列数据的交互特征并行选择方法
郭文鹏,面向大规模高维序列数据的交互特征并行选择方法
王国仁,面向大规模高维序列数据的交互特征并行选择方法
祁宏伟,面向大规模高维序列数据的交互特征并行选择方法
吴建华,可调间隙实验平台
韩勇,可调间隙实验平台
刘超,可调间隙实验平台
杨启杰,可调间隙实验平台
熊振华,可调间隙实验平台
吴建华,一种机器人快速示教分拣系统和方法
丁铖,一种机器人快速示教分拣系统和方法
熊振华,一种机器人快速示教分拣系统和方法
盛鑫军,一种机器人快速示教分拣系统和方法
朱向阳,一种机器人快速示教分拣系统和方法
吴建华,一种人机安全防护系统和防护方法
丁铖,一种人机安全防护系统和防护方法
单腾飞,一种人机安全防护系统和防护方法
熊振华,一种人机安全防护系统和防护方法
朱向阳,一种人机安全防护系统和防护方法
吴建华,基于继电反馈的伺服系统间隙辨识方法
韩勇,基于继电反馈的伺服系统间隙辨识方法
刘超,基于继电反馈的伺服系统间隙辨识方法
杨启杰,基于继电反馈的伺服系统间隙辨识方法
熊振华,基于继电反馈的伺服系统间隙辨识方法
韩勇,一种基于指点杆的多通道触觉传感器及相应的控制方法
熊振华,一种基于指点杆的多通道触觉传感器及相应的控制方法
吴建华,一种基于指点杆的多通道触觉传感器及相应的控制方法
吴建华,一种基于继电器位置反馈相轨迹曲线拟合的伺服系统辨识方法
史晓立,一种基于继电器位置反馈相轨迹曲线拟合的伺服系统辨识方法
韩勇,一种基于继电器位置反馈相轨迹曲线拟合的伺服系统辨识方法
熊振华,一种基于继电器位置反馈相轨迹曲线拟合的伺服系统辨识方法
朱向阳,一种基于继电器位置反馈相轨迹曲线拟合的伺服系统辨识方法
吴建华,一种基于RTX+DSP的多轴运动控制器通信系统
刘超,一种基于RTX+DSP的多轴运动控制器通信系统
杨启杰,一种基于RTX+DSP的多轴运动控制器通信系统
熊振华,一种基于RTX+DSP的多轴运动控制器通信系统
盛鑫军,一种基于RTX+DSP的多轴运动控制器通信系统
吴建华,一种机器人动力学模型辨识方法
熊振华,一种机器人动力学模型辨识方法
韩勇,一种机器人动力学模型辨识方法
史晓立,一种机器人动力学模型辨识方法
朱向阳,一种机器人动力学模型辨识方法
郑其斌,一种提高太赫兹被动成像单元灵敏度的调 制解调方法
丁丽,一种提高太赫兹被动成像单元灵敏度的调 制解调方法
李银伟,一种提高太赫兹被动成像单元灵敏度的调 制解调方法
赵旋,一种提高太赫兹被动成像单元灵敏度的调 制解调方法
李星,一种提高太赫兹被动成像单元灵敏度的调 制解调方法
邱政宣,一种提高太赫兹被动成像单元灵敏度的调 制解调方法
王晓鲲,一种提高太赫兹被动成像单元灵敏度的调 制解调方法
林文褀,一种提高太赫兹被动成像单元灵敏度的调 制解调方法
卜朝晖,一种提高太赫兹被动成像单元灵敏度的调 制解调方法
李萍,一种提高太赫兹被动成像单元灵敏度的调 制解调方法
朱亦鸣,一种提高太赫兹被动成像单元灵敏度的调 制解调方法
李超,基于MIMO 阵列合成孔径的三维快速成像方法及装置
高航,基于MIMO 阵列合成孔径的三维快速成像方法及装置
吴世有,基于MIMO 阵列合成孔径的三维快速成像方法及装置
方广有,基于MIMO 阵列合成孔径的三维快速成像方法及装置
李超,用于目标跟踪的测角方法
李宏伟,用于目标跟踪的测角方法
吴世有,用于目标跟踪的测角方法
高航,用于目标跟踪的测角方法
方广有,用于目标跟踪的测角方法
郭旭光,基于伪表面等离激元三维堆叠结构的传感器
郑兴国,基于伪表面等离激元三维堆叠结构的传感器
朱亦鸣,基于伪表面等离激元三维堆叠结构的传感器
丁丽,一种基于矩阵填充的太赫兹稀疏成像设计
李萍,一种基于矩阵填充的太赫兹稀疏成像设计
朱亦鸣,一种基于矩阵填充的太赫兹稀疏成像设计
吴淑娴,一种基于矩阵填充的太赫兹稀疏成像设计
张紫欣,一种基于矩阵填充的太赫兹稀疏成像设计
丁丽,一种基于单站阵型映射到MIMO阵型的设计 方法
李银伟,一种基于单站阵型映射到MIMO阵型的设计 方法
李萍,一种基于单站阵型映射到MIMO阵型的设计 方法
朱亦鸣,一种基于单站阵型映射到MIMO阵型的设计 方法
尹丽娟,一种基于单站阵型映射到MIMO阵型的设计 方法
丁丽,基于布鲁斯特角测量的太赫兹物质介电常数测量系统
王喜旺,基于布鲁斯特角测量的太赫兹物质介电常数测量系统
夏克文,基于布鲁斯特角测量的太赫兹物质介电常数测量系统
朱亦鸣,基于布鲁斯特角测量的太赫兹物质介电常数测量系统
李超,成像装置、方法、电子设备及存储介质
高航,成像装置、方法、电子设备及存储介质
吴世有,成像装置、方法、电子设备及存储介质
方广有,成像装置、方法、电子设备及存储介质
李超,基于透射型频控波束扫描器件的太赫兹成像系统
郑深,基于透射型频控波束扫描器件的太赫兹成像系统
张晓娟,基于透射型频控波束扫描器件的太赫兹成像系统
方广有,基于透射型频控波束扫描器件的太赫兹成像系统
丁丽,基于SIW的太赫兹传输结构及其制备方法和 应用
李萍,基于SIW的太赫兹传输结构及其制备方法和 应用
朱亦鸣,基于SIW的太赫兹传输结构及其制备方法和 应用
熊毓俊,基于SIW的太赫兹传输结构及其制备方法和 应用
鲍佳宸,基于SIW的太赫兹传输结构及其制备方法和 应用
李超,基于MIMO阵列的成像方法及装置
杨冠,基于MIMO阵列的成像方法及装置
高航,基于MIMO阵列的成像方法及装置
方广有,基于MIMO阵列的成像方法及装置
李超,用于MIMO波束成形的栅旁瓣抑制方法
杨冠,用于MIMO波束成形的栅旁瓣抑制方法
方广有,用于MIMO波束成形的栅旁瓣抑制方法
李超,用于MIMO阵列的相移偏移成像方法及装置
高航,用于MIMO阵列的相移偏移成像方法及装置
吴世有,用于MIMO阵列的相移偏移成像方法及装置
方广有,用于MIMO阵列的相移偏移成像方法及装置
李超,基于MIMO-SAR的高精度三维快速成像方法及装置
高航,基于MIMO-SAR的高精度三维快速成像方法及装置
吴世有,基于MIMO-SAR的高精度三维快速成像方法及装置
张群英,基于MIMO-SAR的高精度三维快速成像方法及装置
刘小军,基于MIMO-SAR的高精度三维快速成像方法及装置
方广有,基于MIMO-SAR的高精度三维快速成像方法及装置
吴静睿,一种太赫兹波谱系统噪声模拟方法及系统
郭旭光,一种太赫兹波谱系统噪声模拟方法及系统
朱亦鸣,一种太赫兹波谱系统噪声模拟方法及系统
李超,太赫兹主、被动复合成像准光学扫描系统
耿贺彬,太赫兹主、被动复合成像准光学扫描系统
郑深,太赫兹主、被动复合成像准光学扫描系统
方广有,太赫兹主、被动复合成像准光学扫描系统
李超,基于二维矩量法和射线追迹法的透镜高效仿真、优化方法
耿贺彬,基于二维矩量法和射线追迹法的透镜高效仿真、优化方法
郑深,基于二维矩量法和射线追迹法的透镜高效仿真、优化方法
方广有,基于二维矩量法和射线追迹法的透镜高效仿真、优化方法
李超,一种用于MIMO-SAR的三维快速成像方法
杨冠,一种用于MIMO-SAR的三维快速成像方法
方广有,一种用于MIMO-SAR的三维快速成像方法
李超,基于多波束非线性鉴角的目标跟踪方法
李宏伟,基于多波束非线性鉴角的目标跟踪方法
吴世有,基于多波束非线性鉴角的目标跟踪方法
郑深,基于多波束非线性鉴角的目标跟踪方法
方广有,基于多波束非线性鉴角的目标跟踪方法
丁丽,一种基于复信号频谱运算的数字IQ校准方 法
朱亦鸣,一种基于复信号频谱运算的数字IQ校准方 法
李萍,一种基于复信号频谱运算的数字IQ校准方 法
陶毅,一种基于复信号频谱运算的数字IQ校准方 法
李超,基于多通道数字和差的单脉冲跟踪与成像方法
李宏伟,基于多通道数字和差的单脉冲跟踪与成像方法
吴世有,基于多通道数字和差的单脉冲跟踪与成像方法
高航,基于多通道数字和差的单脉冲跟踪与成像方法
方广有,基于多通道数字和差的单脉冲跟踪与成像方法
李超,透镜的优化方法
郑深,透镜的优化方法
张晓娟,透镜的优化方法
方广有,透镜的优化方法
余安琪,一种等离激元辅助的芯片三维微纳结构的光学测量方法
杨振宇,一种等离激元辅助的芯片三维微纳结构的光学测量方法
郭旭光,一种等离激元辅助的芯片三维微纳结构的光学测量方法
朱亦鸣,一种等离激元辅助的芯片三维微纳结构的光学测量方法
李超,基于MIMO 阵列合成孔径的高精度三维快速成像方法及装置
高航,基于MIMO 阵列合成孔径的高精度三维快速成像方法及装置
吴世有,基于MIMO 阵列合成孔径的高精度三维快速成像方法及装置
张群英,基于MIMO 阵列合成孔径的高精度三维快速成像方法及装置
刘小军,基于MIMO 阵列合成孔径的高精度三维快速成像方法及装置
方广有,基于MIMO 阵列合成孔径的高精度三维快速成像方法及装置
黄青松,一种基于主题模型的胸部X光片诊断报告异常检测方法
殷宁波,一种基于主题模型的胸部X光片诊断报告异常检测方法
尤诚诚,一种基于主题模型的胸部X光片诊断报告异常检测方法
刘利军,一种基于主题模型的胸部X光片诊断报告异常检测方法
冯旭鹏,一种基于主题模型的胸部X光片诊断报告异常检测方法
黄青松,一种基于骨科症状特征选取的文本处理方法
郭峰,一种基于骨科症状特征选取的文本处理方法
余慧,一种基于骨科症状特征选取的文本处理方法
刘利军,一种基于骨科症状特征选取的文本处理方法
冯旭鹏,一种基于骨科症状特征选取的文本处理方法
黄青松,基于综合特征表示与改进宽深度模型的相似病例推荐方法
杨承启,基于综合特征表示与改进宽深度模型的相似病例推荐方法
王艺平,基于综合特征表示与改进宽深度模型的相似病例推荐方法
刘利军,基于综合特征表示与改进宽深度模型的相似病例推荐方法
冯旭鹏,基于综合特征表示与改进宽深度模型的相似病例推荐方法
黄青松,一种深度强相关哈希学习的大规模图像检索方法
单文琦,一种深度强相关哈希学习的大规模图像检索方法
刘利军,一种深度强相关哈希学习的大规模图像检索方法
冯旭鹏,一种深度强相关哈希学习的大规模图像检索方法
颜洪,一种基于多阶段最大化注意力的多项选择机器阅读理解的方法
黄青松,一种基于多阶段最大化注意力的多项选择机器阅读理解的方法
刘利军,一种基于多阶段最大化注意力的多项选择机器阅读理解的方法
冯旭鹏,一种基于多阶段最大化注意力的多项选择机器阅读理解的方法
王江峰,基于改进UNet++的视网膜血管图像分割方法
刘利军,基于改进UNet++的视网膜血管图像分割方法
冯旭鹏,基于改进UNet++的视网膜血管图像分割方法
黄青松,基于改进UNet++的视网膜血管图像分割方法
黄青松,基于实体关系标注策略的中医电子病历实体关系提取方法
陈尧文,基于实体关系标注策略的中医电子病历实体关系提取方法
谢先章,基于实体关系标注策略的中医电子病历实体关系提取方法
刘利军,基于实体关系标注策略的中医电子病历实体关系提取方法
冯旭鹏,基于实体关系标注策略的中医电子病历实体关系提取方法
黄青松,基于卷积神经网络对肺结节的恶性程度进行分类的方法
段彦隆,基于卷积神经网络对肺结节的恶性程度进行分类的方法
赵晓乐,基于卷积神经网络对肺结节的恶性程度进行分类的方法
刘利军,基于卷积神经网络对肺结节的恶性程度进行分类的方法
冯旭鹏,基于卷积神经网络对肺结节的恶性程度进行分类的方法
傅铁威,基于卷积神经网络对肺结节的恶性程度进行分类的方法
黄青松,一种基于词性增量迭代的在线医疗文本症状识别方法
尤诚诚,一种基于词性增量迭代的在线医疗文本症状识别方法
余慧,一种基于词性增量迭代的在线医疗文本症状识别方法
刘利军,一种基于词性增量迭代的在线医疗文本症状识别方法
冯旭鹏,一种基于词性增量迭代的在线医疗文本症状识别方法
黄青松,基于多视图、多尺度、多任务肺结节分类方法
张帅威,基于多视图、多尺度、多任务肺结节分类方法
刘利军,基于多视图、多尺度、多任务肺结节分类方法
冯旭鹏,基于多视图、多尺度、多任务肺结节分类方法
王林珠,一种减少加废钢时粘渣的废钢槽及方法
李长荣,一种减少加废钢时粘渣的废钢槽及方法
庄昌凌,一种减少加废钢时粘渣的废钢槽及方法
李翔,一种减少加废钢时粘渣的废钢槽及方法
龙潇,一种减少加废钢时粘渣的废钢槽及方法
王林珠,一种防止转炉加废钢时废钢槽滑落的装置及使用方法
李长荣,一种防止转炉加废钢时废钢槽滑落的装置及使用方法
庄昌凌,一种防止转炉加废钢时废钢槽滑落的装置及使用方法
李翔,一种防止转炉加废钢时废钢槽滑落的装置及使用方法
王林珠,一种转炉喷补出钢口辅助装置及方法
李翔,一种转炉喷补出钢口辅助装置及方法
李长荣,一种转炉喷补出钢口辅助装置及方法
庄昌凌,一种转炉喷补出钢口辅助装置及方法
龙潇,一种转炉喷补出钢口辅助装置及方法
封海波,一种纳米微球乳液合成装置
樊静,一种纳米微球乳液合成装置
张琳梓,一种纳米微球乳液合成装置
刘前虔,一种纳米微球乳液合成装置
冯洋洋,一种纳米微球乳液合成装置
吴代燕,一种纳米微球乳液合成装置
封海波,一种高压纳米脂质体膜挤出装置
樊静,一种高压纳米脂质体膜挤出装置
张琳梓,一种高压纳米脂质体膜挤出装置
刘前虔,一种高压纳米脂质体膜挤出装置
冯洋洋,一种高压纳米脂质体膜挤出装置
吴代燕,一种高压纳米脂质体膜挤出装置
封海波,一种纳米级药物颗粒制备装置
樊静,一种纳米级药物颗粒制备装置
张琳梓,一种纳米级药物颗粒制备装置
刘前虔,一种纳米级药物颗粒制备装置
冯洋洋,一种纳米级药物颗粒制备装置
吴代燕,一种纳米级药物颗粒制备装置
封海波,一种功能性纳米微球的制备装置
樊静,一种功能性纳米微球的制备装置
张琳梓,一种功能性纳米微球的制备装置
刘前虔,一种功能性纳米微球的制备装置
冯洋洋,一种功能性纳米微球的制备装置
吴代燕,一种功能性纳米微球的制备装置
李晓鹏,种植物密度测量装置和种植物密度测量方法
刘建立,种植物密度测量装置和种植物密度测量方法
张佳宝,种植物密度测量装置和种植物密度测量方法
李晓鹏,土壤检测装置和土壤含水量及容重检测方法
何承东,土壤检测装置和土壤含水量及容重检测方法
刘建立,土壤检测装置和土壤含水量及容重检测方法
张佳宝,土壤检测装置和土壤含水量及容重检测方法
闫一凡,土壤检测装置和土壤含水量及容重检测方法
李晓鹏,融合宇宙射线中子法和无人机遥感的中小尺度土壤水监测系统及方法
赵原,融合宇宙射线中子法和无人机遥感的中小尺度土壤水监测系统及方法
刘金涛,融合宇宙射线中子法和无人机遥感的中小尺度土壤水监测系统及方法
刘建立,融合宇宙射线中子法和无人机遥感的中小尺度土壤水监测系统及方法
张佳宝,融合宇宙射线中子法和无人机遥感的中小尺度土壤水监测系统及方法
李晓鹏,探针式土壤墒情传感器
杨坤,探针式土壤墒情传感器
王晟,探针式土壤墒情传感器
刘建立,探针式土壤墒情传感器
张佳宝,探针式土壤墒情传感器
李晓鹏,基于FDR的无线土壤墒情检测装置
杨坤,基于FDR的无线土壤墒情检测装置
王晟,基于FDR的无线土壤墒情检测装置
刘建立,基于FDR的无线土壤墒情检测装置
张佳宝,基于FDR的无线土壤墒情检测装置
郭辉,一种建筑材料切割装置
冯晶晶,一种建筑材料切割装置
高艺,一种建筑材料切割装置
陈玉,一种建筑材料切割装置
郭辉,一种多带隙组合调控的混凝土超材料结构及其制备方法
尹明升,一种多带隙组合调控的混凝土超材料结构及其制备方法
邓妍池,一种多带隙组合调控的混凝土超材料结构及其制备方法
孙亚斌,一种多带隙组合调控的混凝土超材料结构及其制备方法
岳建鑫,一种多带隙组合调控的混凝土超材料结构及其制备方法
陈玉,一种多带隙组合调控的混凝土超材料结构及其制备方法
郭辉,一种耐伽玛射线辐照聚脲材料及其制备方法
陈玉,一种耐伽玛射线辐照聚脲材料及其制备方法
姜欣怡,一种耐伽玛射线辐照聚脲材料及其制备方法
蒋林志,一种耐伽玛射线辐照聚脲材料及其制备方法
卢春江,一种耐伽玛射线辐照聚脲材料及其制备方法
凌星鹏,一种耐伽玛射线辐照聚脲材料及其制备方法
郭辉,一种用于泡沫铝的抗爆耐冲击聚脲涂料及其制备方法
卢春江,一种用于泡沫铝的抗爆耐冲击聚脲涂料及其制备方法
陈玉,一种用于泡沫铝的抗爆耐冲击聚脲涂料及其制备方法
顾蒙,一种用于泡沫铝的抗爆耐冲击聚脲涂料及其制备方法
蒋林志,一种用于泡沫铝的抗爆耐冲击聚脲涂料及其制备方法
凌星鹏,一种用于泡沫铝的抗爆耐冲击聚脲涂料及其制备方法
姜欣怡,一种用于泡沫铝的抗爆耐冲击聚脲涂料及其制备方法
郭辉,一种用于玻璃防护的透明保温聚脲涂层材料及其制备方法
周自荣,一种用于玻璃防护的透明保温聚脲涂层材料及其制备方法
陈玉,一种用于玻璃防护的透明保温聚脲涂层材料及其制备方法
李晓鹏,土壤墒情检测装置
杨坤,土壤墒情检测装置
王晟,土壤墒情检测装置
刘建立,土壤墒情检测装置
张佳宝,土壤墒情检测装置
张志军,基于钙钛矿纳米晶的γ射线闪烁转换屏的制备方法
杨珩,基于钙钛矿纳米晶的γ射线闪烁转换屏的制备方法
李乾利,基于钙钛矿纳米晶的γ射线闪烁转换屏的制备方法
李慧慧,基于钙钛矿纳米晶的γ射线闪烁转换屏的制备方法
李世美,一种可降解铋基微波诊疗试剂及其制备方法和应用
孟宪伟,一种可降解铋基微波诊疗试剂及其制备方法和应用
谭龙飞,一种可降解铋基微波诊疗试剂及其制备方法和应用
任湘菱,一种可降解铋基微波诊疗试剂及其制备方法和应用
吴琼,一种可降解铋基微波诊疗试剂及其制备方法和应用
付长慧,一种可降解铋基微波诊疗试剂及其制备方法和应用
孟宪伟,一种用于微波动力治疗肿瘤的微球及其制备方法和应用
夏娜,一种用于微波动力治疗肿瘤的微球及其制备方法和应用
谭龙飞,一种用于微波动力治疗肿瘤的微球及其制备方法和应用
付长慧,一种用于微波动力治疗肿瘤的微球及其制备方法和应用
吴琼,一种用于微波动力治疗肿瘤的微球及其制备方法和应用
任湘菱,一种用于微波动力治疗肿瘤的微球及其制备方法和应用
周辉,岩石空心圆柱扭剪仪(工装机)
姜玥,岩石空心圆柱扭剪仪(工装机)
卢景景,岩石空心圆柱扭剪仪(工装机)
黄磊,岩石空心圆柱扭剪仪(工装机)
张传庆,岩石空心圆柱扭剪仪(工装机)
胡大伟,岩石空心圆柱扭剪仪(工装机)
高阳,岩石空心圆柱扭剪仪(工装机)
陈珺,岩石空心圆柱扭剪仪(工装机)
周辉,岩石拉压双面剪切试验装置
陈珺,岩石拉压双面剪切试验装置
卢景景,岩石拉压双面剪切试验装置
张传庆,岩石拉压双面剪切试验装置
胡大伟,岩石拉压双面剪切试验装置
姜玥,岩石拉压双面剪切试验装置
卢景景,一种裂隙试样制备方法
谢业统,一种裂隙试样制备方法
周辉,一种裂隙试样制备方法
张传庆,一种裂隙试样制备方法
胡大伟,一种裂隙试样制备方法
龚春艳,一种裂隙试样制备方法
韩钢,一种裂隙试样制备方法
卢景景,实现地质探测的组合式TBM及地质探测掘进方法
龚春艳,实现地质探测的组合式TBM及地质探测掘进方法
周辉,实现地质探测的组合式TBM及地质探测掘进方法
张传庆,实现地质探测的组合式TBM及地质探测掘进方法
杨凡杰,实现地质探测的组合式TBM及地质探测掘进方法
胡大伟,实现地质探测的组合式TBM及地质探测掘进方法
高阳,实现地质探测的组合式TBM及地质探测掘进方法
杨艳霜,实现地质探测的组合式TBM及地质探测掘进方法
卢景景,实现卡机脱困的组合式TBM及卡机脱困掘进方法
龚春艳,实现卡机脱困的组合式TBM及卡机脱困掘进方法
周辉,实现卡机脱困的组合式TBM及卡机脱困掘进方法
张传庆,实现卡机脱困的组合式TBM及卡机脱困掘进方法
高阳,实现卡机脱困的组合式TBM及卡机脱困掘进方法
杨凡杰,实现卡机脱困的组合式TBM及卡机脱困掘进方法
朱勇,实现卡机脱困的组合式TBM及卡机脱困掘进方法
杨艳霜,实现卡机脱困的组合式TBM及卡机脱困掘进方法
周辉,岩石多功能剪切试验测试装置
陈珺,岩石多功能剪切试验测试装置
卢景景,岩石多功能剪切试验测试装置
张传庆,岩石多功能剪切试验测试装置
胡大伟,岩石多功能剪切试验测试装置
姜玥,岩石多功能剪切试验测试装置
姜玥,可伸缩式围压套筒及岩石力学试验仪器
卢景景,可伸缩式围压套筒及岩石力学试验仪器
周辉,可伸缩式围压套筒及岩石力学试验仪器
陈珺,可伸缩式围压套筒及岩石力学试验仪器
黄磊,可伸缩式围压套筒及岩石力学试验仪器
高阳,可伸缩式围压套筒及岩石力学试验仪器
周辉,岩石空心圆柱扭剪仪
姜玥,岩石空心圆柱扭剪仪
卢景景,岩石空心圆柱扭剪仪
黄磊,岩石空心圆柱扭剪仪
张传庆,岩石空心圆柱扭剪仪
胡大伟,岩石空心圆柱扭剪仪
高阳,岩石空心圆柱扭剪仪
陈珺,岩石空心圆柱扭剪仪
龙丹冰,一种以监测数据驱动的综合管廊运维动态风险评价方法
赵一静,一种以监测数据驱动的综合管廊运维动态风险评价方法
杨成,一种以监测数据驱动的综合管廊运维动态风险评价方法
龙丹冰,基于知识图谱的施工行为安全风险分析与危险点识别的方法
魏君豪,基于知识图谱的施工行为安全风险分析与危险点识别的方法
杨成,基于知识图谱的施工行为安全风险分析与危险点识别的方法
龙丹冰,基于熵算法改进的云模型和故障树古建筑风险分析方法
解丽萍,基于熵算法改进的云模型和故障树古建筑风险分析方法
杨成,基于熵算法改进的云模型和故障树古建筑风险分析方法
方亚鹏,一种延缓鱼油氧化的乳液及其制备方法
王晨茜,一种延缓鱼油氧化的乳液及其制备方法
孙翠霞,一种延缓鱼油氧化的乳液及其制备方法
方亚鹏,玉米醇溶蛋白/阿拉伯胶复合纳米颗粒及其制备方法
宋静如,玉米醇溶蛋白/阿拉伯胶复合纳米颗粒及其制备方法
孙翠霞,玉米醇溶蛋白/阿拉伯胶复合纳米颗粒及其制备方法
张俊威,玉米醇溶蛋白/阿拉伯胶复合纳米颗粒及其制备方法
熊哲强,玉米醇溶蛋白/阿拉伯胶复合纳米颗粒及其制备方法
方亚鹏,一种蛋黄酱类似物及其制备方法
王晨茜,一种蛋黄酱类似物及其制备方法
孙翠霞,一种蛋黄酱类似物及其制备方法
付凌雨,基于个体化临床特征构建的评估类风湿性关节炎脑卒中风险的预测模型
辛芳冉,基于个体化临床特征构建的评估类风湿性关节炎脑卒中风险的预测模型
付凌雨,SAA4蛋白作为类风湿关节炎诊断标志物的应用、诊断或辅助诊断试剂盒中的应用
李佳慧,SAA4蛋白作为类风湿关节炎诊断标志物的应用、诊断或辅助诊断试剂盒中的应用
崔文韬,一种在类球体区域约束下进行气管壁缺口封堵的肺气道树分割方法
韩贺,一种在类球体区域约束下进行气管壁缺口封堵的肺气道树分割方法
薛鹏,一种在类球体区域约束下进行气管壁缺口封堵的肺气道树分割方法
